run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,240409_userG_tripod_05_7.csv,24,phase,137,0.9240875916169105
,G,240412_userG_tripod_01_0.csv,25,abs,115,0.9443478376859645
,G,240412_userG_tripod_01_1.csv,25,abs,146,0.9744419185878485
,G,240412_userG_tripod_01_2.csv,24,abs,122,0.9666573241497178
,G,240412_userG_tripod_01_3.csv,26,abs,119,0.9490488097492977
,G,240412_userG_tripod_01_4.csv,25,abs,132,0.9686464565701259
,G,240412_userG_tripod_01_5.csv,25,abs,137,0.9407410619365145
,G,240412_userG_tripod_01_6.csv,23,abs,124,0.9110260860177241
,G,240412_userG_tripod_01_7.csv,24,phase,106,0.9393143811205115
,G,240412_userG_tripod_02_0.csv,45,phase,103,0.8806992315952473
,G,240412_userG_tripod_02_1.csv,28,abs,133,0.8658880240398844
,G,240412_userG_tripod_02_2.csv,28,abs,127,0.8475200906153502
,G,240412_userG_tripod_02_3.csv,29,abs,105,0.9458615541196613
,G,240412_userG_tripod_02_4.csv,45,phase,113,0.9519821452062863
,G,240412_userG_tripod_02_5.csv,44,phase,128,0.9479522848604515
,G,240412_userG_tripod_02_6.csv,28,abs,118,0.9368583470254331
,G,240412_userG_tripod_02_7.csv,27,abs,116,0.9305872827417072
,G,240412_userG_tripod_03_0.csv,28,abs,142,0.9596631843046173
,G,240412_userG_tripod_03_1.csv,24,phase,123,0.9780258438755516
,G,240412_userG_tripod_03_2.csv,25,phase,143,0.9845175058201818
,G,240412_userG_tripod_03_3.csv,25,phase,122,0.9748739150610782
,G,240412_userG_tripod_03_4.csv,27,abs,139,0.978637904732646
,G,240412_userG_tripod_03_5.csv,28,abs,135,0.9423009302103156
,G,240412_userG_tripod_03_6.csv,25,phase,114,0.9742651826906692
,G,240412_userG_tripod_03_7.csv,25,phase,119,0.9476669387106694
,G,240412_userG_tripod_04_0.csv,25,phase,116,0.43459538599649616
,G,240412_userG_tripod_04_1.csv,25,phase,126,0.9673463352681507
